出发地\目的地,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,合计
A01,4,7,4,4,3,4,6,5,3,4,6,7,5,3,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
A02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,2,4,1,4,11,2,5,9,2,5,1,4,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
A03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,3,5,3,7,6,7,7,1,5,5,5,7,2,4,86
LAND,38,38,15,23,24,30,22,17,24,27,23,27,26,25,17,22,22,33,33,44,47,45,21,18,24,28,26,26,19,25,25,25,26,33,18,34,24,24,31,22,18,19,24,27,28,19,18,27,28,20,31,23,1353
合计,42,45,19,27,27,34,28,22,27,31,29,34,31,28,23,25,27,37,44,46,51,46,25,29,26,33,35,28,24,26,29,30,31,37,21,42,28,31,34,27,21,26,30,34,35,20,23,32,33,27,33,27,1600
